img,pred
1658595.jpg,50
0904858.jpg,50
1798066.jpg,50
0222901.jpg,96
0457171.jpg,50
1134122.jpg,94
1769024.jpg,50
1138890.jpg,94
2039060.jpg,50
2220738.jpg,50
2213427.jpg,50
2204928.jpg,50
2000146.jpg,94
1103084.jpg,50
0487358.jpg,50
2075625.jpg,11
0469128.jpg,9
2176725.jpg,11
1228882.jpg,11
2103110.jpg,11
1095676.jpg,11
0752124.jpg,8
2234650.jpg,96
0732201.jpg,11
1847312.jpg,11
1795133.jpg,11
2110536.jpg,96
0658068.jpg,96
1146233.jpg,16
1696058.jpg,11
1514936.jpg,11
1234647.jpg,94
0240319.jpg,2
2200425.jpg,11
1143131.jpg,96
0493824.jpg,94
1823703.jpg,11
1563456.jpg,9
2076100.jpg,11
1429850.jpg,11
1287644.jpg,96
1715529.jpg,10
1658290.jpg,94
2059186.jpg,11
0361122.jpg,94
1701061.jpg,11
0123345.jpg,96
1706735.jpg,11
1870552.jpg,11
2212065.jpg,96
1560791.jpg,11
1180142.jpg,96
2084802.jpg,11
1418227.jpg,96
2044875.jpg,11
1936431.jpg,96
1787739.jpg,96
1330831.jpg,94
2106885.jpg,96
2221303.jpg,72
2130084.jpg,11
2081094.jpg,11
2013756.jpg,96
1496408.jpg,94
1790501.jpg,11
2244063.jpg,20
1505793.jpg,11
1810920.jpg,17
1891190.jpg,11
2119860.jpg,11
2069690.jpg,11
1627991.jpg,11
0123344.jpg,10
2204922.jpg,77
2104765.jpg,77
2044277.jpg,96
2035343.jpg,11
1606745.jpg,11
1246993.jpg,94
1557747.jpg,11
1763802.jpg,96
2029861.jpg,96
1913641.jpg,11
1604058.jpg,94
1191065.jpg,11
1606594.jpg,96
1779647.jpg,8
1545067.jpg,96
1783026.jpg,96
1857207.jpg,96
2239630.jpg,11
2094380.jpg,11
1307312.jpg,11
2239816.jpg,96
2015492.jpg,96
1915069.jpg,11
1646217.jpg,96
2191092.jpg,11
1709112.jpg,96
1910714.jpg,96
1864995.jpg,11
2218526.jpg,96
1661603.jpg,11
0939993.jpg,11
2124079.jpg,96
1091648.jpg,11
0381610.jpg,30
1555557.jpg,96
1099212.jpg,11
1942551.jpg,96
1583389.jpg,72
1429301.jpg,11
1303532.jpg,11
1620516.jpg,96
2066138.jpg,94
1650311.jpg,11
2234654.jpg,96
1922917.jpg,11
0897884.jpg,11
1113588.jpg,12
0447940.jpg,12
0584536.jpg,94
0116704.jpg,87
0071197.jpg,18
0768404.jpg,12
0063290.jpg,32
0482796.jpg,12
1559371.jpg,13
0346147.jpg,8
1255726.jpg,13
1013519.jpg,0
0483243.jpg,12
0907390.jpg,0
1088805.jpg,13
1609206.jpg,13
1906074.jpg,12
0523221.jpg,12
0875360.jpg,12
1294506.jpg,12
0718627.jpg,50
0123339.jpg,0
1870761.jpg,75
0801610.jpg,13
0812096.jpg,75
1163998.jpg,17
0939485.jpg,12
0100206.jpg,10
0184344.jpg,10
0735016.jpg,12
1119128.jpg,12
0751056.jpg,94
0901374.jpg,12
0753862.jpg,87
0133435.jpg,12
0901506.jpg,13
1621237.jpg,94
1561989.jpg,13
1013358.jpg,94
0853397.jpg,97
0618871.jpg,13
0765780.jpg,13
2084806.jpg,13
0487316.jpg,75
0181735.jpg,87
0114420.jpg,87
0215875.jpg,87
2175624.jpg,9
1486858.jpg,13
1831097.jpg,87
1270583.jpg,94
0396589.jpg,12
0829651.jpg,8
1429836.jpg,13
0130602.jpg,87
0846175.jpg,12
0847752.jpg,13
1514483.jpg,13
0438661.jpg,94
0225215.jpg,8
0109440.jpg,90
0870866.jpg,87
0067865.jpg,90
1921449.jpg,12
0136494.jpg,13
0065412.jpg,94
0934705.jpg,14
2098098.jpg,14
1351410.jpg,14
1945366.jpg,14
1165189.jpg,14
1539428.jpg,15
1658655.jpg,14
1639831.jpg,14
1355236.jpg,14
1376172.jpg,14
1103086.jpg,14
1191117.jpg,14
1396939.jpg,14
1417184.jpg,14
1356441.jpg,14
1249553.jpg,14
0519448.jpg,75
0458784.jpg,14
1327557.jpg,14
2066357.jpg,14
1546041.jpg,14
0505611.jpg,14
0905532.jpg,14
1590785.jpg,14
0559493.jpg,14
1921281.jpg,14
1302677.jpg,14
2260089.jpg,14
2166004.jpg,14
1298765.jpg,14
1932555.jpg,14
1757004.jpg,15
1237633.jpg,15
1483441.jpg,15
0709185.jpg,55
1363952.jpg,15
0625763.jpg,15
1003143.jpg,75
1105737.jpg,15
1818746.jpg,15
1300487.jpg,15
0939503.jpg,73
2088369.jpg,75
0257377.jpg,15
1992930.jpg,15
1860177.jpg,15
1545141.jpg,61
1400446.jpg,14
1172046.jpg,15
0143381.jpg,15
1415431.jpg,52
0205776.jpg,87
1671731.jpg,78
1113092.jpg,75
1527504.jpg,14
0167121.jpg,87
1073032.jpg,15
0925865.jpg,14
0842395.jpg,15
1097907.jpg,14
1102381.jpg,15
0090861.jpg,52
1221957.jpg,0
0147032.jpg,41
0232377.jpg,52
2057952.jpg,78
0857653.jpg,52
0115072.jpg,87
1641331.jpg,52
0367794.jpg,75
0304209.jpg,87
2261957.jpg,75
1586478.jpg,87
1833079.jpg,14
1008426.jpg,52
0205775.jpg,87
0237111.jpg,87
1553898.jpg,73
2152856.jpg,75
0829997.jpg,87
0075759.jpg,2
1389257.jpg,70
0625402.jpg,52
2137087.jpg,15
0274254.jpg,70
2236969.jpg,75
1293019.jpg,16
1110808.jpg,52
0849417.jpg,15
0973290.jpg,78
0523031.jpg,15
0257282.jpg,87
2096354.jpg,15
0807860.jpg,87
1683877.jpg,52
0324847.jpg,52
1966244.jpg,75
0188550.jpg,87
0907383.jpg,2
0195003.jpg,87
0959452.jpg,87
1401587.jpg,75
0923532.jpg,70
2163061.jpg,15
1732549.jpg,75
0501890.jpg,87
0694463.jpg,75
1536390.jpg,75
0792199.jpg,14
0328062.jpg,38
0582370.jpg,12
1296189.jpg,15
2008530.jpg,75
1942914.jpg,87
1267078.jpg,78
1320095.jpg,75
0953521.jpg,75
1573348.jpg,75
1980084.jpg,52
0851314.jpg,87
1370959.jpg,75
1001811.jpg,78
1603592.jpg,75
1729160.jpg,78
2213523.jpg,52
1358695.jpg,75
1176949.jpg,75
2040683.jpg,94
0684603.jpg,10
2206288.jpg,75
0625762.jpg,52
2031397.jpg,52
1000045.jpg,75
2195127.jpg,75
2008019.jpg,52
0434343.jpg,75
1616512.jpg,75
0410062.jpg,75
0547318.jpg,78
1958762.jpg,75
0523050.jpg,75
1879898.jpg,70
2168926.jpg,87
0367993.jpg,52
0076836.jpg,75
1568879.jpg,75
1332663.jpg,70
1154702.jpg,52
1645748.jpg,8
1218795.jpg,75
0062131.jpg,52
1599803.jpg,75
1768769.jpg,52
0684562.jpg,75
1079168.jpg,76
2226325.jpg,75
0851313.jpg,75
0523001.jpg,52
2221573.jpg,70
0939608.jpg,38
2239626.jpg,75
1860537.jpg,52
1188170.jpg,14
1255792.jpg,52
2088378.jpg,75
1207261.jpg,52
1598389.jpg,52
1927319.jpg,70
1542770.jpg,75
1390306.jpg,52
1004940.jpg,75
2206294.jpg,52
1704741.jpg,52
2248561.jpg,48
1295495.jpg,75
0757707.jpg,94
1510899.jpg,52
1065444.jpg,87
0066677.jpg,87
0681470.jpg,78
1369907.jpg,75
2087628.jpg,10
1702873.jpg,75
2056062.jpg,75
2071957.jpg,52
1386619.jpg,75
0681542.jpg,70
1193603.jpg,52
1762160.jpg,75
0274619.jpg,75
1266149.jpg,52
0903776.jpg,75
2117303.jpg,75
1539325.jpg,17
1461298.jpg,17
2096236.jpg,16
2131538.jpg,18
1376301.jpg,16
0273146.jpg,16
0974301.jpg,16
1549128.jpg,16
1917518.jpg,94
0977515.jpg,96
2099421.jpg,16
1880805.jpg,16
0225212.jpg,96
1616481.jpg,94
2260895.jpg,17
0846826.jpg,12
1910721.jpg,17
1527486.jpg,16
2043110.jpg,17
2259876.jpg,96
2171049.jpg,16
1917497.jpg,16
1148366.jpg,20
2175378.jpg,90
1310548.jpg,18
1806596.jpg,14
1577693.jpg,17
2218525.jpg,17
1961354.jpg,18
2067972.jpg,12
1869956.jpg,16
2019053.jpg,96
1292389.jpg,16
0684608.jpg,96
0675670.jpg,16
1936773.jpg,17
1027573.jpg,52
1939758.jpg,17
1251253.jpg,17
1584962.jpg,50
1979066.jpg,96
2147234.jpg,16
0175819.jpg,18
1540121.jpg,17
0714155.jpg,16
0824047.jpg,96
1931268.jpg,16
1139794.jpg,50
1182369.jpg,96
2173791.jpg,94
1336049.jpg,96
0744232.jpg,16
1842062.jpg,17
0454744.jpg,96
1933930.jpg,17
2211104.jpg,17
1545070.jpg,96
2252349.jpg,16
1926825.jpg,17
0237414.jpg,18
0077196.jpg,18
1568114.jpg,18
0897300.jpg,19
0295746.jpg,94
0245219.jpg,10
0187671.jpg,18
0241450.jpg,18
1571964.jpg,18
1507531.jpg,18
1111277.jpg,18
0062258.jpg,18
1234832.jpg,18
0447785.jpg,18
0918184.jpg,41
0301967.jpg,18
0140272.jpg,94
0996579.jpg,18
0151678.jpg,18
0849197.jpg,56
0710670.jpg,18
1173946.jpg,18
0249234.jpg,18
0298309.jpg,94
1221649.jpg,18
0901380.jpg,19
0732693.jpg,18
0457464.jpg,18
0195718.jpg,18
0078364.jpg,18
0240325.jpg,94
0913627.jpg,18
1223334.jpg,56
1136119.jpg,18
0961819.jpg,18
2244501.jpg,19
0487386.jpg,18
0939548.jpg,19
1098958.jpg,18
0901141.jpg,18
1413317.jpg,18
0529811.jpg,50
0066413.jpg,18
0076845.jpg,18
1335195.jpg,19
1872634.jpg,19
0942763.jpg,56
2068053.jpg,18
0454595.jpg,90
0738965.jpg,19
1240324.jpg,56
1719561.jpg,56
1469661.jpg,19
0175821.jpg,12
1922848.jpg,19
1348421.jpg,18
1365711.jpg,56
1631990.jpg,96
1994544.jpg,56
1586136.jpg,94
0849418.jpg,18
1303941.jpg,56
1609735.jpg,19
2064021.jpg,56
1680766.jpg,56
1299986.jpg,56
2175375.jpg,19
